,zaman_mazi_sadeh,zaman_mazi_estemrari,zaman_mazi_baeid,zaman_mazi_eltezami,mazi_mostamar,mozare_ekhbari,mozare_eltezami,mozare_estemrari,َAyandeh,Amr
111,بازی کردیم,بازی می کردیم,بازی کرده بودیم,بازی کرده باشیم,داشتیم بازی می کردیم,بازی می کنیم,بازی بکنیم,داریم بازی می کنیم,می خوایم بازی بکنیم,بازی بکنیم
112,بازی کردین,بازی می کردین,بازی کرده بودین,بازی کرده باشین,داشتین بازی می کردین,بازی می کنین,بازی بکنین,دارین بازی می کنین,می خواین بازی بکنین,بازی بکنین
113,بازی کردن,بازی می کردن,بازی کرده بودن,بازی کرده باشن,داشتن بازی می کردن,بازی می کنن,بازی بکنن,دارن بازی می کنن,می خوان بازی بکنن,بازی بکنن
114,بافتم,می بافتم,بافته بودم,بافته باشم,داشتم  می بافتم,می بافم,ببافم,دارم  می بافم,می خوام ببافم,-
115,بافتی,می بافتی,بافته بودی,بافته باشی,داشتی  می بافتی,می بافی,ببافی,داری  می بافی,می خوای ببافی,بباف
116,بافت,می بافت,بافته بود,بافته باش,داشته  می بافته,می بافه,ببافه,داره  می بافه,می خواد ببافه,ببافه
117,بافتیم,می بافتیم,بافته بودیم,بافته باشیم,داشتیم  می بافتیم,می بافیم,ببافیم,داریم  می بافیم,می خوایم ببافیم,ببافیم
118,بافتین,می بافتین,بافته بودین,بافته باشین,داشتین  می بافتین,می بافین,ببافین,دارین  می بافین,می خواین ببافین,ببافین
119,بافتن,می بافتن,بافته بودن,بافته باشن,داشتن  می بافتن,می بافن,ببافن,دارن  می بافن,می خوان ببافن,ببافن
120,باور کردم,باور می کردم,باور کرده بودم,باور کرده باشم,داشتم باور می کردم,باور می کنم,باور بکنم,دارم باور می کنم,می خوام باور بکنم,-
121,باور کردی,باور می کردی,باور کرده بودی,باور کرده باشی,داشتی باور می کردی,باور می کنی,باور بکنی,داری باور می کنی,می خوای باور بکنی,باور بکن
122,باور کرد,باور می کرد,باور کرده بود,باور کرده باش,داشته باور می کرده,باور می کنه,باور بکنه,داره باور می کنه,می خواد باور بکنه,باور بکنه
123,باور کردیم,باور می کردیم,باور کرده بودیم,باور کرده باشیم,داشتیم باور می کردیم,باور می کنیم,باور بکنیم,داریم باور می کنیم,می خوایم باور بکنیم,باور بکنیم
124,باور کردین,باور می کردین,باور کرده بودین,باور کرده باشین,داشتین باور می کردین,باور می کنین,باور بکنین,دارین باور می کنین,می خواین باور بکنین,باور بکنین
125,باور کردن,باور می کردن,باور کرده بودن,باور کرده باشن,داشتن باور می کردن,باور می کنن,باور بکنن,دارن باور می کنن,می خوان باور بکنن,باور بکنن
126,بخارپز کردم,بخارپز می کردم,بخارپز کرده بودم,بخارپز کرده باشم,داشتم بخارپز می کردم,بخارپز می کنم,بخارپز بکنم,دارم بخارپز می کنم,می خوام بخارپز بکنم,-
127,بخارپز کردی,بخارپز می کردی,بخارپز کرده بودی,بخارپز کرده باشی,داشتی بخارپز می کردی,بخارپز می کنی,بخارپز بکنی,داری بخارپز می کنی,می خوای بخارپز بکنی,بخارپز بکن
