,roots,indicative_past.past_simple,indicative_past.past imperfective,indicative_past.past_progressive,indicative_past.past_narrative,indicative_past.past_precedent,indicative_present.present_simple,indicative_present.present_imperfective,indicative_present.present_progressive,indicative_future.future_simple,subjunctive_past.past_narrative,subjunctive_present.present_simple,imperative_present.present_simple
1,کردن,گریه کردی,گریه می‌کردی,داشتی گریه می‌کردی,گریه کرده‌ای,گریه کرده بودی,گریه کنی,گریه می‌کنی,داری گریه می‌کنی,گریه خواهی کرد,گریه کرده باشی,گریه بکنی,گریه بکن
2,کرد,گریه کرد,گریه می‌کرد,داشت گریه می‌کرد,گریه کرده(است),گریه کرده بود,گریه کند,گریه می‌کند,دارد گریه می‌کند,گریه خواهد کرد,گریه کرده باشد,گریه بکند,گریه بکند
3,کرده,گریه کردیم,گریه می‌کردیم,داشتیم گریه می‌کردیم,گریه کرده‌ایم,گریه کرده بودیم,گریه کنیم,گریه می‌کنیم,داریم گریه می‌کنیم,گریه خواهیم کرد,گریه کرده باشیم,گریه بکنیم,گریه بکنیم
4,کن,گریه کردید,گریه می‌کردید,داشتید گریه می‌کردید,گریه کرده‌اید,گریه کرده بودید,گریه کنید,گریه می‌کنید,دارید گریه می‌کنید,گریه خواهید کرد,گریه کرده باشید,گریه بکنید,گریه بکنید
5,-,گریه کردند,گریه می‌کردند,داشتند گریه می‌کردند,گریه کرده‌اند,گریه کرده بودند,گریه کنند,گریه می‌کنند,دارند گریه می‌کنند,گریه خواهند کرد,گریه کرده باشند,گریه بکنند,گریه بکنند
0,گشتن,گشتم,می‌گشتم,داشتم می‌گشتم,گشته‌ام,گشته بودم,گردم,می‌گردم,دارم می‌گردم,خواهم گشت,گشته باشم,بگردم,-
1,گشت,گشتی,می‌گشتی,داشتی می‌گشتی,گشته‌ای,گشته بودی,گردی,می‌گردی,داری می‌گردی,خواهی گشت,گشته باشی,بگردی,بگرد
2,گشته,گشت,می‌گشت,داشت می‌گشت,گشته(است),گشته بود,گردد,می‌گردد,دارد می‌گردد,خواهد گشت,گشته باشد,بگردد,بگردد
3,گرد,گشتیم,می‌گشتیم,داشتیم می‌گشتیم,گشته‌ایم,گشته بودیم,گردیم,می‌گردیم,داریم می‌گردیم,خواهیم گشت,گشته باشیم,بگردیم,بگردیم
4,-,گشتید,می‌گشتید,داشتید می‌گشتید,گشته‌اید,گشته بودید,گردید,می‌گردید,دارید می‌گردید,خواهید گشت,گشته باشید,بگردید,بگردید
5,-,گشتند,می‌گشتند,داشتند می‌گشتند,گشته‌اند,گشته بودند,گردند,می‌گردند,دارند می‌گردند,خواهند گشت,گشته باشند,بگردند,بگردند
0,گفتن,گفتم,می‌گفتم,داشتم می‌گفتم,گفته‌ام,گفته بودم,گویم,می‌گویم,دارم می‌گویم,خواهم گفت,گفته باشم,بگویم,-
1,گفت,گفتی,می‌گفتی,داشتی می‌گفتی,گفته‌ای,گفته بودی,گویی,می‌گویی,داری می‌گویی,خواهی گفت,گفته باشی,بگویی,بگو
2,گفته,گفت,می‌گفت,داشت می‌گفت,گفته(است),گفته بود,گوید,می‌گوید,دارد می‌گوید,خواهد گفت,گفته باشد,بگوید,بگوید
3,گو,گفتیم,می‌گفتیم,داشتیم می‌گفتیم,گفته‌ایم,گفته بودیم,گوییم,می‌گوییم,داریم می‌گوییم,خواهیم گفت,گفته باشیم,بگوییم,بگوییم
4,-,گفتید,می‌گفتید,داشتید می‌گفتید,گفته‌اید,گفته بودید,گویید,می‌گویید,دارید می‌گویید,خواهید گفت,گفته باشید,بگویید,بگویید
5,-,گفتند,می‌گفتند,داشتند می‌گفتند,گفته‌اند,گفته بودند,گویند,می‌گویند,دارند می‌گویند,خواهند گفت,گفته باشند,بگویند,بگویند
0,گم کردن,گم کردم,گم می‌کردم,داشتم گم می‌کردم,گم کرده‌ام,گم کرده بودم,گم کنم,گم می‌کنم,دارم گم می‌کنم,گم خواهم کرد,گم کرده باشم,گم بکنم,-
1,کردن,گم کردی,گم می‌کردی,داشتی گم می‌کردی,گم کرده‌ای,گم کرده بودی,گم کنی,گم می‌کنی,داری گم می‌کنی,گم خواهی کرد,گم کرده باشی,گم بکنی,گم بکن
2,کرد,گم کرد,گم می‌کرد,داشت گم می‌کرد,گم کرده(است),گم کرده بود,گم کند,گم می‌کند,دارد گم می‌کند,گم خواهد کرد,گم کرده باشد,گم بکند,گم بکند
3,کرده,گم کردیم,گم می‌کردیم,داشتیم گم می‌کردیم,گم کرده‌ایم,گم کرده بودیم,گم کنیم,گم می‌کنیم,داریم گم می‌کنیم,گم خواهیم کرد,گم کرده باشیم,گم بکنیم,گم بکنیم
4,کن,گم کردید,گم می‌کردید,داشتید گم می‌کردید,گم کرده‌اید,گم کرده بودید,گم کنید,گم می‌کنید,دارید گم می‌کنید,گم خواهید کرد,گم کرده باشید,گم بکنید,گم بکنید
5,-,گم کردند,گم می‌کردند,داشتند گم می‌کردند,گم کرده‌اند,گم کرده بودند,گم کنند,گم می‌کنند,دارند گم می‌کنند,گم خواهند کرد,گم کرده باشند,گم بکنند,گم بکنند
