,roots,indicative_past.past_simple,indicative_past.past imperfective,indicative_past.past_progressive,indicative_past.past_narrative,indicative_past.past_precedent,indicative_present.present_simple,indicative_present.present_imperfective,indicative_present.present_progressive,indicative_future.future_simple,subjunctive_past.past_narrative,subjunctive_present.present_simple,imperative_present.present_simple
4,کن,سرخ کردید,سرخ می‌کردید,داشتید سرخ می‌کردید,سرخ کرده‌اید,سرخ کرده بودید,سرخ کنید,سرخ می‌کنید,دارید سرخ می‌کنید,سرخ خواهید کرد,سرخ کرده باشید,سرخ بکنید,سرخ بکنید
5,-,سرخ کردند,سرخ می‌کردند,داشتند سرخ می‌کردند,سرخ کرده‌اند,سرخ کرده بودند,سرخ کنند,سرخ می‌کنند,دارند سرخ می‌کنند,سرخ خواهند کرد,سرخ کرده باشند,سرخ بکنند,سرخ بکنند
0,سوختن,سوختم,می‌سوختم,داشتم می‌سوختم,سوخته‌ام,سوخته بودم,سوزم,می‌سوزم,دارم می‌سوزم,خواهم سوخت,سوخته باشم,بسوزم,-
1,سوخت,سوختی,می‌سوختی,داشتی می‌سوختی,سوخته‌ای,سوخته بودی,سوزی,می‌سوزی,داری می‌سوزی,خواهی سوخت,سوخته باشی,بسوزی,بسوز
2,سوخته,سوخت,می‌سوخت,داشت می‌سوخت,سوخته(است),سوخته بود,سوزد,می‌سوزد,دارد می‌سوزد,خواهد سوخت,سوخته باشد,بسوزد,بسوزد
3,سوز,سوختیم,می‌سوختیم,داشتیم می‌سوختیم,سوخته‌ایم,سوخته بودیم,سوزیم,می‌سوزیم,داریم می‌سوزیم,خواهیم سوخت,سوخته باشیم,بسوزیم,بسوزیم
4,-,سوختید,می‌سوختید,داشتید می‌سوختید,سوخته‌اید,سوخته بودید,سوزید,می‌سوزید,دارید می‌سوزید,خواهید سوخت,سوخته باشید,بسوزید,بسوزید
5,-,سوختند,می‌سوختند,داشتند می‌سوختند,سوخته‌اند,سوخته بودند,سوزند,می‌سوزند,دارند می‌سوزند,خواهند سوخت,سوخته باشند,بسوزند,بسوزند
0,شدن,شدم,می‌شدم,داشتم می‌شدم,شده‌ام,شده بودم,شوم,می‌شوم,دارم می‌شوم,خواهم شد,شده باشم,بشوم,-
1,شد,شدی,می‌شدی,داشتی می‌شدی,شده‌ای,شده بودی,شوی,می‌شوی,داری می‌شوی,خواهی شد,شده باشی,بشوی,بشو
2,شده,شد,می‌شد,داشت می‌شد,شده(است),شده بود,شود,می‌شود,دارد می‌شود,خواهد شد,شده باشد,بشود,بشود
3,شو,شدیم,می‌شدیم,داشتیم می‌شدیم,شده‌ایم,شده بودیم,شویم,می‌شویم,داریم می‌شویم,خواهیم شد,شده باشیم,بشویم,بشویم
4,-,شدید,می‌شدید,داشتید می‌شدید,شده‌اید,شده بودید,شوید,می‌شوید,دارید می‌شوید,خواهید شد,شده باشید,بشوید,بشوید
5,-,شدند,می‌شدند,داشتند می‌شدند,شده‌اند,شده بودند,شوند,می‌شوند,دارند می‌شوند,خواهند شد,شده باشند,بشوند,بشوند
0,شروع کردن,شروع کردم,شروع می‌کردم,داشتم شروع می‌کردم,شروع کرده‌ام,شروع کرده بودم,شروع کنم,شروع می‌کنم,دارم شروع می‌کنم,شروع خواهم کرد,شروع کرده باشم,شروع بکنم,-
1,کردن,شروع کردی,شروع می‌کردی,داشتی شروع می‌کردی,شروع کرده‌ای,شروع کرده بودی,شروع کنی,شروع می‌کنی,داری شروع می‌کنی,شروع خواهی کرد,شروع کرده باشی,شروع بکنی,شروع بکن
2,کرد,شروع کرد,شروع می‌کرد,داشت شروع می‌کرد,شروع کرده(است),شروع کرده بود,شروع کند,شروع می‌کند,دارد شروع می‌کند,شروع خواهد کرد,شروع کرده باشد,شروع بکند,شروع بکند
3,کرده,شروع کردیم,شروع می‌کردیم,داشتیم شروع می‌کردیم,شروع کرده‌ایم,شروع کرده بودیم,شروع کنیم,شروع می‌کنیم,داریم شروع می‌کنیم,شروع خواهیم کرد,شروع کرده باشیم,شروع بکنیم,شروع بکنیم
4,کن,شروع کردید,شروع می‌کردید,داشتید شروع می‌کردید,شروع کرده‌اید,شروع کرده بودید,شروع کنید,شروع می‌کنید,دارید شروع می‌کنید,شروع خواهید کرد,شروع کرده باشید,شروع بکنید,شروع بکنید
5,-,شروع کردند,شروع می‌کردند,داشتند شروع می‌کردند,شروع کرده‌اند,شروع کرده بودند,شروع کنند,شروع می‌کنند,دارند شروع می‌کنند,شروع خواهند کرد,شروع کرده باشند,شروع بکنند,شروع بکنند
0,شستن,شستم,می‌شستم,داشتم می‌شستم,شسته‌ام,شسته بودم,شویم,می‌شویم,دارم می‌شویم,خواهم شست,شسته باشم,بشویم,-
1,شست,شستی,می‌شستی,داشتی می‌شستی,شسته‌ای,شسته بودی,شویی,می‌شویی,داری می‌شویی,خواهی شست,شسته باشی,بشویی,بشو
2,شسته,شست,می‌شست,داشت می‌شست,شسته(است),شسته بود,شوید,می‌شوید,دارد می‌شوید,خواهد شست,شسته باشد,بشوید,بشوید
3,شو,شستیم,می‌شستیم,داشتیم می‌شستیم,شسته‌ایم,شسته بودیم,شوییم,می‌شوییم,داریم می‌شوییم,خواهیم شست,شسته باشیم,بشوییم,بشوییم
4,-,شستید,می‌شستید,داشتید می‌شستید,شسته‌اید,شسته بودید,شویید,می‌شویید,دارید می‌شویید,خواهید شست,شسته باشید,بشویید,بشویید
5,-,شستند,می‌شستند,داشتند می‌شستند,شسته‌اند,شسته بودند,شویند,می‌شویند,دارند می‌شویند,خواهند شست,شسته باشند,بشویند,بشویند
0,شکستن,شکستم,می‌شکستم,داشتم می‌شکستم,شکسته‌ام,شکسته بودم,شکنم,می‌شکنم,دارم می‌شکنم,خواهم شکست,شکسته باشم,بشکنم,-
1,شکست,شکستی,می‌شکستی,داشتی می‌شکستی,شکسته‌ای,شکسته بودی,شکنی,می‌شکنی,داری می‌شکنی,خواهی شکست,شکسته باشی,بشکنی,بشکن
2,شکسته,شکست,می‌شکست,داشت می‌شکست,شکسته(است),شکسته بود,شکند,می‌شکند,دارد می‌شکند,خواهد شکست,شکسته باشد,بشکند,بشکند
3,شکن,شکستیم,می‌شکستیم,داشتیم می‌شکستیم,شکسته‌ایم,شکسته بودیم,شکنیم,می‌شکنیم,داریم می‌شکنیم,خواهیم شکست,شکسته باشیم,بشکنیم,بشکنیم
4,-,شکستید,می‌شکستید,داشتید می‌شکستید,شکسته‌اید,شکسته بودید,شکنید,می‌شکنید,دارید می‌شکنید,خواهید شکست,شکسته باشید,بشکنید,بشکنید
5,-,شکستند,می‌شکستند,داشتند می‌شکستند,شکسته‌اند,شکسته بودند,شکنند,می‌شکنند,دارند می‌شکنند,خواهند شکست,شکسته باشند,بشکنند,بشکنند
0,شمردن,شمردم,می‌شمردم,داشتم می‌شمردم,شمرده‌ام,شمرده بودم,شمارم,می‌شمارم,دارم می‌شمارم,خواهم شمرد,شمرده باشم,بشمارم,-
1,شمرد,شمردی,می‌شمردی,داشتی می‌شمردی,شمرده‌ای,شمرده بودی,شماری,می‌شماری,داری می‌شماری,خواهی شمرد,شمرده باشی,بشماری,بشمار
2,شمرده,شمرد,می‌شمرد,داشت می‌شمرد,شمرده(است),شمرده بود,شمارد,می‌شمارد,دارد می‌شمارد,خواهد شمرد,شمرده باشد,بشمارد,بشمارد
3,شمار,شمردیم,می‌شمردیم,داشتیم می‌شمردیم,شمرده‌ایم,شمرده بودیم,شماریم,می‌شماریم,داریم می‌شماریم,خواهیم شمرد,شمرده باشیم,بشماریم,بشماریم
4,-,شمردید,می‌شمردید,داشتید می‌شمردید,شمرده‌اید,شمرده بودید,شمارید,می‌شمارید,دارید می‌شمارید,خواهید شمرد,شمرده باشید,بشمارید,بشمارید
5,-,شمردند,می‌شمردند,داشتند می‌شمردند,شمرده‌اند,شمرده بودند,شمارند,می‌شمارند,دارند می‌شمارند,خواهند شمرد,شمرده باشند,بشمارند,بشمارند
0,شناختن,شناختم,می‌شناختم,داشتم می‌شناختم,شناخته‌ام,شناخته بودم,شناسم,می‌شناسم,دارم می‌شناسم,خواهم شناخت,شناخته باشم,بشناسم,-
1,شناخت,شناختی,می‌شناختی,داشتی می‌شناختی,شناخته‌ای,شناخته بودی,شناسی,می‌شناسی,داری می‌شناسی,خواهی شناخت,شناخته باشی,بشناسی,بشناس
2,شناخته,شناخت,می‌شناخت,داشت می‌شناخت,شناخته(است),شناخته بود,شناسد,می‌شناسد,دارد می‌شناسد,خواهد شناخت,شناخته باشد,بشناسد,بشناسد
3,شناس,شناختیم,می‌شناختیم,داشتیم می‌شناختیم,شناخته‌ایم,شناخته بودیم,شناسیم,می‌شناسیم,داریم می‌شناسیم,خواهیم شناخت,شناخته باشیم,بشناسیم,بشناسیم
4,-,شناختید,می‌شناختید,داشتید می‌شناختید,شناخته‌اید,شناخته بودید,شناسید,می‌شناسید,دارید می‌شناسید,خواهید شناخت,شناخته باشید,بشناسید,بشناسید
5,-,شناختند,می‌شناختند,داشتند می‌شناختند,شناخته‌اند,شناخته بودند,شناسند,می‌شناسند,دارند می‌شناسند,خواهند شناخت,شناخته باشند,بشناسند,بشناسند
0,شنیدن,شنیدم,می‌شنیدم,داشتم می‌شنیدم,شنیده‌ام,شنیده بودم,شنوم,می‌شنوم,دارم می‌شنوم,خواهم شنید,شنیده باشم,بشنوم,-
1,شنید,شنیدی,می‌شنیدی,داشتی می‌شنیدی,شنیده‌ای,شنیده بودی,شنوی,می‌شنوی,داری می‌شنوی,خواهی شنید,شنیده باشی,بشنوی,بشنو
2,شنیده,شنید,می‌شنید,داشت می‌شنید,شنیده(است),شنیده بود,شنود,می‌شنود,دارد می‌شنود,خواهد شنید,شنیده باشد,بشنود,بشنود
3,شنو,شنیدیم,می‌شنیدیم,داشتیم می‌شنیدیم,شنیده‌ایم,شنیده بودیم,شنویم,می‌شنویم,داریم می‌شنویم,خواهیم شنید,شنیده باشیم,بشنویم,بشنویم
4,-,شنیدید,می‌شنیدید,داشتید می‌شنیدید,شنیده‌اید,شنیده بودید,شنوید,می‌شنوید,دارید می‌شنوید,خواهید شنید,شنیده باشید,بشنوید,بشنوید
5,-,شنیدند,می‌شنیدند,داشتند می‌شنیدند,شنیده‌اند,شنیده بودند,شنوند,می‌شنوند,دارند می‌شنوند,خواهند شنید,شنیده باشند,بشنوند,بشنوند
0,صبر کردن,صبر کردم,صبر می‌کردم,داشتم صبر می‌کردم,صبر کرده‌ام,صبر کرده بودم,صبر کنم,صبر می‌کنم,دارم صبر می‌کنم,صبر خواهم کرد,صبر کرده باشم,صبر بکنم,-
1,کردن,صبر کردی,صبر می‌کردی,داشتی صبر می‌کردی,صبر کرده‌ای,صبر کرده بودی,صبر کنی,صبر می‌کنی,داری صبر می‌کنی,صبر خواهی کرد,صبر کرده باشی,صبر بکنی,صبر بکن
2,کرد,صبر کرد,صبر می‌کرد,داشت صبر می‌کرد,صبر کرده(است),صبر کرده بود,صبر کند,صبر می‌کند,دارد صبر می‌کند,صبر خواهد کرد,صبر کرده باشد,صبر بکند,صبر بکند
